"workerid","condition","trialnum","type","stimulus","number","matchingnumber","ssc","judgment","response","correct","questionRT","word0RT","word1RT","word2RT","word3RT","word4RT","word5RT","word6RT","word7RT","word8RT","word9RT","word10RT","word11RT","word12RT","word13RT","word14RT","word15RT","word16RT","criticalword","criticalwordRT","hand","instr","langPref","language","lang05","gender","age","handedness","education","comments","countryParents","residence","country"
0,2,1,1,"Los profesores son severos y el decano son severos tambien, entonces no nos preocupamos.","pl-sg",0,0,"ungrammatical","SI, la frase suena bien",0,610.465,148.625,150.185,137.265,135.23,187.7,687.935,305.515,332.72,171.07,180.085,308.145,150.09,308.03,188.73,NA,NA,NA,"tambien",180.085,"right","yes","spanish","spanish","spanish","Male",25,"right","college",NA,"Mexico","USA","Mexico"
0,2,3,1,"El profesor es severo y los decanos es severo tambien, entonces no nos preocupamos.","sg-pl",0,1,"ungrammatical","NO, la frase no suena bien",1,327,127.135,129.44,124.92,124.1,192.175,148.745,120.275,146.53,129.375,150.095,129.865,133.07,150.34,142.645,NA,NA,NA,"tambien",150.095,"left","yes","spanish","spanish","spanish","Male",25,"right","college",NA,"Mexico","USA","Mexico"
0,2,4,2,"Los profesores son severos y el decano tambien, entonces no nos preocupamos.","pl-sg",0,0,"grammatical","SI, la frase suena bien",1,284.035,99.07,130.715,128.755,115.92,176.96,170.065,275.48,201.35,152.05,134.42,119.13,315.64,NA,NA,NA,NA,NA,"tambien",201.35,"right","yes","spanish","spanish","spanish","Male",25,"right","college",NA,"Mexico","USA","Mexico"
0,2,5,2,"El profesor es severo y el decano tambien, entonces no nos preocupamos.","sg",1,0,"grammatical","NO, la frase no suena bien",0,157.93,169.7,141.87,167.455,167.92,274.17,181.05,169.82,173.155,176.085,197.635,189.845,194.425,NA,NA,NA,NA,NA,"tambien",173.155,"left","yes","spanish","spanish","spanish","Male",25,"right","college",NA,"Mexico","USA","Mexico"
0,2,6,1,"Los profesores son severos y los decanos son severos tambien, entonces no nos preocupamos.","pl",1,1,"grammatical","SI, la frase suena bien",1,283.44,159.28,163.84,171.045,190.965,179.35,152.095,210.345,212.795,166.885,302.735,226.485,88.795,178.445,167.86,NA,NA,NA,"tambien",302.735,"right","yes","spanish","spanish","spanish","Male",25,"right","college",NA,"Mexico","USA","Mexico"
0,2,8,1,"El profesor es severo y el decano es severo tambien, entonces no nos preocupamos.","sg",1,0,"grammatical","NO, la frase no suena bien",0,170.75,124.095,119.59,124.505,129.705,131.04,131.51,136.4,119.64,133.215,127.73,128.04,100.66,153.67,139.92,NA,NA,NA,"tambien",127.73,"right","yes","spanish","spanish","spanish","Male",25,"right","college",NA,"Mexico","USA","Mexico"
0,2,9,2,"Los profesores son severos y los decanos tambien, entonces no nos preocupamos.","pl",1,1,"grammatical","NO, la frase no suena bien",0,307.58,145.595,135.885,147.61,148.145,140.43,153.765,129.655,132.2,145.57,134.135,234,177.735,NA,NA,NA,NA,NA,"tambien",132.2,"left","yes","spanish","spanish","spanish","Male",25,"right","college",NA,"Mexico","USA","Mexico"
0,2,10,2,"El profesor es severo y los decanos tambien, entonces no nos preocupamos.","sg-pl",0,1,"grammatical","SI, la frase suena bien",1,196.155,147.59,138.98,143.59,130.445,133.605,142.065,126.25,125.57,119.665,127.955,112.975,136.29,NA,NA,NA,NA,NA,"tambien",125.57,"right","yes","spanish","spanish","spanish","Male",25,"right","college",NA,"Mexico","USA","Mexico"
1,28,1,1,"El ingeniero es europeo y los albaniles es europeo tambien, entonces el estilo de construccion sera europeo.","sg-pl",0,1,"ungrammatical","NO, la frase no suena bien",1,5449,302,272,257,247,264.995,247.005,233,255,705,223,248,279,256,273,264,312,2064,"tambien",223,"right","yes","english","english","mixed","Male",27,"right","some-grad",NA,"Honduras","Estados Unidos","Estados Unidos"
1,28,3,2,"El ingeniero es europeo y los albaniles tambien, entonces el estilo de construccion sera europeo.","sg-pl",0,1,"grammatical","SI, la frase suena bien",1,720,335,272,273,223,376,279,240,328,343,297,328,223,376,800,303,NA,NA,"tambien",328,"left","yes","english","english","mixed","Male",27,"right","some-grad",NA,"Honduras","Estados Unidos","Estados Unidos"
